binomial,CYTB,COI,ND1,ND2,12S,16S,FGB,MUSK,ODC,RAG1,TGFB2,ZENK
Rhynochetos jubatus,,,,,U76026.1,,AY695140.1,EU739869.1,DQ881777.1,KT954364.1,EU737447.1,EU739017.1
Rollulus rouloul,EF571185.1,,,KR732854.1,KC749471.1,,,,,KT954354.1,EU737448.1,
Rupornis magnirostris,AY987330.1,JQ174215.1,,AY987152.1,DQ148352.1,GQ264626.1,AY987225.1,,,EF078719.1,,
Sarcoramphus papa,KX534422.1,JQ176176.1,,KX534722.1,,,,EU739874.1,,,KX534592.1,EU739022.1
Scolopax minor,EF373157.1,AY666265.1,AY274072.1,EF373266.1,U83744.2,,,,,EF373207.1,,
Scolopax rusticola,HQ540480.1,KY754548.1,,JQ963039.1,FN675612.1,KC984220.1,HQ540506.1,,,KT954382.1,,
Seiurus aurocapilla,GU932365.1,DQ434733.1,,JN568782.1,AF447254.1,,AY082419.1,GU932150.1,,KC007800.1,GU932430.1,
Selasphorus calliope,,DQ434139.1,,EU042593.1,,,EU042428.1,KJ603138.1,KJ602772.1,,,AF492506.1
Selasphorus platycercus,AY275864.1,DQ434065.1,,KX855386.1,AY281073.1,,AY830673.1,KX855617.1,KX855560.1,,,
Selasphorus rufus,,DQ434066.1,,KX855392.1,KC858413.1,,EU042425.1,KX855623.1,KX855563.1,,,
Serinus canaria,AY914136.1,,,JN715484.1,,,,,KM112835.1,KM113013.1,,AF026085.1
Setophaga coronata,KC999886.1,AY666465.1,KC977569.1,AY030146.1,,AF202813.1,,GU932185.1,,KC007793.1,EU815801.1,
Spheniscus humboldti,DQ137220.1,DQ137180.1,,GQ354793.1,DQ137201.1,DQ137161.1,DQ881996.1,,DQ881781.1,AF143734.1,,
Sphyrapicus ruber,KF209097.1,AF272596.1,,DQ361285.1,,,DQ352413.1,KC813434.1,,,GU566594.1,
Stercorarius parasiticus,U76829.1,EU525515.1,,,U76766.1,,MG515637.1,,,,,
Streptopelia decaocto,KY378786.1,MF382007.1,,AF353418.1,,,,,,,,
Strix nebulosa,AJ004059.1,AY666432.1,,GU784958.1,,,,,,EU348936.1,,
Strix occidentalis,,DQ434178.1,,GU784959.1,,,,EU739880.1,,DQ482641.1,EU737459.1,
Strix varia,AF448260.1,DQ434179.1,,,U88028.1,KM042913.1,,,,,,
Struthio camelus,L78809.1,LC145063.1,,AH007281.2,FN675552.1,U76041.1,EF552785.1,EU739749.1,EF552743.1,AF143727.1,EU737314.1,
Sturnus vulgaris,AF285790.1,GU571639.1,,EU551977.1,HM159163.1,AF202826.1,EF471838.1,,EU680769.1,DQ466812.1,EF484109.1,GU816982.1
Sula nebouxii,KC577254.1,,,KC577265.1,AF173579.1,AF173579.1,,,HQ379827.1,,,
Synthliboramphus antiquus,AB070632.1,EU525534.1,,EF373269.1,LC104769.1,EF380294.1,,,,EF373212.1,,
Tachycineta thalassina,AY052449.1,DQ433232.1,,AY052460.1,,,AY827407.1,,JX299000.1,,,
Taeniopygia guttata,AY491525.1,,,KY120953.1,,,,,FJ408650.1,,FJ408719.1,AF026084.1
Tauraco erythrolophus,AF102084.1,,,KU160196.1,,,,EU739883.1,,DQ482643.1,EU737462.1,
Troglodytes aedon,JN677453.1,JQ943376.1,,AY460233.1,,AF202824.1,,,GU816925.1,AY057038.1,KM978155.1,GU816980.1
Troglodytes pacificus,KF209128.1,,,,,,,,,,,
Turdus migratorius,EU834877.1,EU834860.1,,AY752353.1,AF173599.1,AF173599.1,,,EU154865.1,KC789829.1,,AF492527.1
Turdus olivater,EU154650.1,JQ176580.1,,DQ911101.1,EU154543.1,,,,,,,
Tyto alba,EU167029.1,KM377636.1,EU166976.1,EU601052.1,EU167085.1,KX440412.1,AY082407.1,EU739893.1,DQ881790.1,KT954401.1,EU737472.1,AF490174.1
Uria aalge,DQ485892.1,GU571680.1,,JQ435061.1,DQ485794.1,DQ485832.1,AY695194.1,,,EF380276.1,,
Uria lomvia,U37308.1,EU525591.1,,EF373273.1,AJ242687.1,EF380299.1,,,,EF373216.1,,
Zenaida macroura,EU834878.1,DQ434832.1,,EF373359.1,EF373325.1,U55844.1,AY082416.1,,,EF373530.1,,AF490165.1
Zonotrichia leucophrys,AF305761.1,DQ434840.1,,KC007570.1,,AF202781.1,,,,KC007769.1,,
